attempt_number,hours_since_first,runtime_ms,score,active
1,0.0,9.87,90.0,False
2,0.0,8.72,90.0,False
3,0.0,10.3,90.0,False
4,0.0004,9.02,0.0,False
5,72.6529,37.84,0.0,False
6,72.6705,34.93,0.0,False
7,72.7822,13.26,90.0,False
8,73.0937,23.24,0.0,False
9,73.3818,14.36,90.0,False
10,73.3979,16.24,90.0,True
11,73.4476,18.99,0.0,False
12,73.5164,14.7,0.0,False
13,73.7358,26.86,0.0,False
14,74.0201,13.95,0.0,False
15,74.0705,33.75,0.0,False
16,74.0961,48.84,90.0,False
17,74.1238,18.5,0.0,False
18,74.1591,39.85,0.0,False
19,74.2933,28.41,0.0,False
20,74.4254,19.21,90.0,False
21,74.6517,10.43,0.0,True
22,74.874,20.26,90.0,False
23,75.0911,20.46,0.0,False
24,75.1219,24.64,85.0,True
25,75.1462,14.63,0.0,False
26,75.2058,13.72,0.0,False
27,75.4413,34.46,0.0,True
28,121.6624,1015.35,90.0,False
29,122.0685,951.41,0.0,True
30,123.2442,842.6,90.0,True
31,123.3306,953.71,25.3333,False
32,123.7333,813.63,0.0,False
33,123.9907,885.56,0.0,False
34,124.8641,834.62,90.0,False
35,124.8881,921.46,0.0,True
36,125.45,934.06,90.0,False
37,125.8096,859.53,0.0,False
38,126.1182,1075.23,0.0,False
39,126.2763,978.68,0.0,False
40,126.8303,905.29,90.0,False
41,126.8952,975.23,0.0,False
42,126.9762,809.89,0.0,False
43,127.0902,838.84,0.0,False
44,127.1475,770.45,90.0,True
45,127.4713,796.58,90.0,False
46,127.7527,935.3,0.0,True
47,127.9395,889.87,0.0,True
48,128.1506,954.92,90.0,False
49,128.297,834.05,0.0,False
50,128.6056,967.78,0.0,False
51,128.6385,828.8,0.0,False
52,128.8032,957.2,0.0,False
53,128.8555,915.57,0.0,False
54,128.8591,951.33,0.0,True
55,128.9022,823.01,0.0,True
56,128.9554,956.91,0.0,True
57,129.012,934.16,0.0,False
58,129.2557,856.73,0.0,False
59,129.3461,994.52,0.0,False
60,129.5889,975.75,90.0,False
61,129.6789,868.15,0.0,False
62,129.7073,883.53,90.0,False
63,129.7174,938.22,0.0,True
64,129.876,944.25,0.0,True
65,130.0318,819.09,0.0,False
66,130.1054,928.33,0.0,False
67,130.3748,8.68,0.0,False
68,130.485,995.29,38.0,False
69,130.756,9.28,0.0,True
70,130.8943,798.54,0.0,False
71,130.9575,956.14,0.0,False
72,131.0659,961.5,0.0,False
73,131.0931,932.68,0.0,False
74,131.7963,965.76,90.0,False
75,132.0991,888.43,0.0,True
76,132.3976,1024.11,0.0,False
77,132.4893,898.09,0.0,True
78,133.8159,944.73,0.0,False
79,134.036,9.69,0.0,False
80,134.3688,8.76,0.0,False
81,136.0931,9.76,0.0,False
82,136.6918,9.81,0.0,False
83,136.7937,10.22,0.0,False
84,137.0805,8.08,90.0,False
85,137.1552,9.24,0.0,False
86,137.2238,8.04,0.0,False
87,137.4497,11.49,90.0,False
88,137.5322,8.83,0.0,False
89,137.6832,8.92,90.0,True
90,137.8702,8.93,0.0,False
91,138.0303,8.74,38.0,False
92,138.0855,8.84,0.0,False
93,138.3029,10.02,0.0,False
94,138.4745,11.38,0.0,False
95,138.4977,8.63,0.0,True
96,138.9534,9.42,0.0,False
97,138.9664,10.54,90.0,False
98,139.1818,8.28,90.0,False
99,139.254,10.74,90.0,False
100,139.426,8.21,0.0,False
101,139.4678,8.58,0.0,False
102,139.557,7.62,0.0,False
103,139.6131,10.12,0.0,False
104,139.7891,10.01,0.0,False
105,139.8202,8.85,90.0,False
106,139.9849,9.28,0.0,False
107,139.9966,9.34,0.0,False
