attempt_number,submission_time,runtime_ms,score,active
1,0.0,768.36,0.0,True
2,20.8778,924.23,90.0,True
3,25.8531,934.62,0.0,True
4,26.2982,809.8,90.0,True
5,26.4269,847.36,0.0,True
6,26.4922,1029.07,90.0,True
7,26.724,1031.42,0.0,True
8,26.936,888.01,90.0,True
9,26.9978,921.31,90.0,True
10,27.1812,928.25,90.0,True
11,27.2448,931.06,90.0,True
12,27.2788,887.03,0.0,True
13,27.3171,780.36,90.0,True
14,27.3232,1028.01,0.0,True
15,27.3321,929.51,0.0,True
16,27.3437,882.57,90.0,True
17,27.5053,828.43,38.5714,True
18,27.5053,885.42,90.0,True
19,27.5296,904.06,90.0,True
20,27.5851,901.72,90.0,True
21,27.6464,794.29,90.0,True
22,27.6671,917.07,90.0,True
23,27.72,970.0,90.0,True
24,27.885,871.95,0.0,True
25,28.0005,1000.5,0.0,True
26,28.0307,992.74,0.0,True
27,28.037,899.87,90.0,True
28,28.1605,926.92,90.0,True
29,28.1685,810.72,0.0,True
30,28.1814,773.68,0.0,True
31,28.2058,1078.4,90.0,True
32,28.228,897.89,0.0,True
33,28.2607,990.43,0.0,True
34,28.2802,1025.22,90.0,True
35,28.2852,989.93,0.0,True
36,28.3178,929.75,0.0,True
37,28.3535,898.25,90.0,True
38,28.3977,896.34,90.0,True
39,28.515,875.84,64.2857,True
40,28.5252,739.45,90.0,True
41,28.5902,985.76,12.8571,True
42,28.688,931.6,0.0,True
43,28.6945,936.31,64.2857,True
44,28.7124,921.01,90.0,True
45,28.7177,1004.46,25.7143,True
46,28.8299,1034.46,90.0,True
47,28.9028,804.09,64.2857,True
48,28.9261,833.79,90.0,True
49,29.1002,963.21,90.0,True
50,29.1849,900.04,90.0,True
51,29.1945,985.29,0.0,True
52,29.4329,978.33,90.0,True
53,29.4331,884.74,90.0,True
54,29.4963,1033.6,90.0,True
55,29.5395,977.66,90.0,True
56,29.6221,949.99,64.2857,True
57,29.7275,952.85,90.0,True
58,29.8159,1057.69,90.0,True
59,29.8359,785.56,0.0,True
60,30.0572,757.11,90.0,True
61,30.1397,932.39,90.0,True
62,30.1881,842.16,90.0,True
63,30.3882,923.65,90.0,True
64,30.4884,966.58,0.0,True
65,30.528,902.69,90.0,True
66,33.6386,8.91,90.0,True
67,35.94,10.0,90.0,True
68,36.5195,8.42,0.0,True
69,36.5295,10.52,90.0,True
70,36.5613,9.53,0.0,True
71,36.6905,8.57,90.0,True
72,36.8511,9.92,90.0,True
73,36.9249,8.75,90.0,True
74,37.1451,8.69,0.0,True
75,37.2283,9.46,90.0,True
76,37.2943,9.8,90.0,True
77,37.3332,9.56,90.0,True
78,37.5687,9.53,0.0,True
79,37.5839,9.63,90.0,True
80,37.6918,8.63,90.0,True
81,38.243,9.59,90.0,True
82,38.4213,9.73,0.0,True
83,38.4682,9.55,90.0,True
84,38.6546,8.34,0.0,True
85,38.6772,9.38,0.0,True
86,38.7504,9.44,90.0,True
87,38.7751,9.91,0.0,True
88,39.1162,10.0,90.0,True
89,39.219,8.41,0.0,True
90,39.4854,10.14,0.0,True
91,39.5514,8.87,0.0,True
92,39.6311,10.41,90.0,True
93,39.7616,8.89,64.2857,True
94,39.9194,9.54,0.0,True
95,40.0512,9.67,90.0,True
96,40.0863,9.13,0.0,True
97,40.1328,8.87,90.0,True
98,40.1527,9.46,90.0,True
99,40.3181,9.87,90.0,True
100,40.3196,9.72,90.0,True
101,40.3806,8.55,90.0,True
102,40.4249,9.91,0.0,True
103,40.6048,8.53,90.0,True
104,40.6333,9.74,90.0,True
105,40.6554,9.88,0.0,True
106,40.6701,9.17,90.0,True
107,40.6713,9.23,90.0,True
108,40.684,10.24,0.0,True
109,40.7748,8.48,0.0,True
110,40.7754,9.17,90.0,True
111,40.8097,9.04,90.0,True
112,40.8321,8.66,90.0,True
113,40.8335,8.05,90.0,True
114,40.8388,9.41,90.0,True
