attempt_number,submission_time,runtime_ms,score,active
1,2026-01-09T09:58:27.049412-08:00,,95,TRUE
1,2026-01-09T10:42:28.518781-08:00,,95,TRUE
1,2026-01-09T10:44:10.684964-08:00,,95,TRUE
1,2026-01-09T11:17:20.255348-08:00,,0,FALSE
2,2026-01-09T11:28:40.872336-08:00,,0,FALSE
3,2026-01-09T11:30:18.560497-08:00,,95,TRUE
1,2026-01-09T11:49:24.235854-08:00,,95,TRUE
1,2026-01-09T12:45:51.915007-08:00,,0,FALSE
2,2026-01-09T12:48:15.002897-08:00,,95,TRUE
1,2026-01-09T12:59:44.990991-08:00,,0,FALSE
2,2026-01-09T13:03:25.366090-08:00,,95,TRUE
1,2026-01-09T13:34:29.468778-08:00,,95,TRUE
1,2026-01-09T14:38:46.043724-08:00,,95,TRUE
1,2026-01-09T15:11:38.655012-08:00,,95,TRUE
1,2026-01-09T15:15:57.162529-08:00,,95,TRUE
1,2026-01-09T15:38:53.371502-08:00,,95,TRUE
1,2026-01-09T15:41:39.488919-08:00,,95,TRUE
1,2026-01-09T14:41:50.687643-08:00,,0,FALSE
2,2026-01-09T15:58:21.943283-08:00,,95,FALSE
3,2026-01-09T16:07:21.290032-08:00,,95,TRUE
1,2026-01-09T16:42:07.133439-08:00,,95,TRUE
1,2026-01-09T16:43:18.803052-08:00,,95,TRUE
1,2026-01-09T16:59:28.271119-08:00,,0,FALSE
2,2026-01-09T17:18:36.524367-08:00,,95,TRUE
1,2026-01-09T17:21:28.818477-08:00,,95,TRUE
1,2026-01-09T19:01:07.974656-08:00,,95,TRUE
1,2026-01-09T19:06:15.364690-08:00,,95,TRUE
1,2026-01-09T20:20:02.027221-08:00,,95,TRUE
1,2026-01-09T19:26:23.094566-08:00,,0,FALSE
2,2026-01-09T20:43:08.549793-08:00,,95,TRUE
1,2026-01-09T21:14:13.491827-08:00,,95,TRUE
1,2026-01-09T23:32:46.679700-08:00,,95,TRUE
1,2026-01-09T23:37:21.683380-08:00,,95,TRUE
1,2026-01-09T23:38:34.779416-08:00,,95,TRUE
1,2026-01-10T10:23:19.017384-08:00,,95,TRUE
1,2026-01-10T10:45:38.176959-08:00,,95,TRUE
1,2026-01-10T10:57:24.955956-08:00,,95,TRUE
1,2026-01-10T12:39:59.117751-08:00,,95,TRUE
1,2026-01-10T12:12:18.381522-08:00,,0,FALSE
2,2026-01-10T12:17:54.780349-08:00,,0,FALSE
3,2026-01-10T12:46:01.271607-08:00,,95,TRUE
1,2026-01-10T13:10:41.118634-08:00,,95,TRUE
1,2026-01-10T13:42:51.961847-08:00,,95,TRUE
1,2026-01-10T13:43:11.143673-08:00,,95,TRUE
1,2026-01-10T14:31:04.303610-08:00,,0,FALSE
2,2026-01-10T14:45:02.853526-08:00,,95,TRUE
1,2026-01-10T15:06:04.462165-08:00,,95,TRUE
1,2026-01-10T15:44:23.756289-08:00,,95,TRUE
1,2026-01-10T15:57:42.949068-08:00,,95,TRUE
1,2026-01-10T16:35:59.357871-08:00,,95,TRUE
1,2026-01-10T17:14:15.926674-08:00,,95,TRUE
1,2026-01-10T17:23:15.398684-08:00,,95,TRUE
1,2026-01-10T17:35:01.377307-08:00,,95,TRUE
1,2026-01-10T17:56:44.188101-08:00,,95,TRUE
1,2026-01-10T18:25:38.642835-08:00,,95,TRUE
1,2026-01-10T19:30:05.748355-08:00,,95,TRUE
