attempt_number,submission_time,runtime_ms,score
1,2026-02-02T09:36:57.204543-08:00,14.76,95
1,2026-02-02T09:38:03.970858-08:00,14.57,95
1,2026-02-02T09:41:19.985023-08:00,-1,95
1,2026-02-02T09:58:51.937154-08:00,-1,95
1,2026-02-02T10:08:58.025415-08:00,24.6,90
1,2026-02-02T10:22:32.441284-08:00,14.48,95
1,2026-02-02T09:43:27.910394-08:00,,8.6364
2,2026-02-02T10:45:35.330533-08:00,13.46,95
1,2026-02-02T10:55:13.821448-08:00,13.77,95
1,2026-02-02T11:22:05.727580-08:00,14.53,95
1,2026-02-02T11:24:47.154414-08:00,-1,95
1,2026-02-02T09:39:40.549833-08:00,,0
2,2026-02-02T09:43:37.569790-08:00,,0
3,2026-02-02T11:45:40.292401-08:00,14.56,95
1,2026-02-02T09:54:32.409362-08:00,-1,95
2,2026-02-02T11:46:21.262534-08:00,-1,95
1,2026-02-02T09:55:49.130916-08:00,27.99,90
2,2026-02-02T11:56:22.246232-08:00,-1,95
1,2026-02-02T10:17:25.047349-08:00,,0
2,2026-02-02T10:34:35.071072-08:00,,0
3,2026-02-02T11:59:56.447031-08:00,14.62,95
1,2026-02-02T12:01:33.796751-08:00,26.39,90
2,2026-02-02T18:48:37.756811-08:00,28.17,90
1,2026-02-02T12:10:05.196485-08:00,-1,95
1,2026-02-02T11:07:24.259101-08:00,,17.2727
2,2026-02-02T12:11:14.736958-08:00,13.25,95
1,2026-02-02T12:25:40.288639-08:00,-1,95
1,2026-02-02T12:28:32.408145-08:00,14.96,95
1,2026-02-02T11:34:27.339835-08:00,15.05,90
2,2026-02-02T12:41:42.854210-08:00,13.8,95
1,2026-02-02T13:16:42.890250-08:00,14.48,95
1,2026-02-02T13:20:35.118994-08:00,29.69,90
1,2026-02-02T13:27:51.335910-08:00,13.8,95
1,2026-02-02T13:28:54.971111-08:00,-1,95
1,2026-02-02T13:30:20.751240-08:00,14.43,95
1,2026-02-02T13:53:01.968388-08:00,-1,95
1,2026-02-02T14:12:22.150318-08:00,8.77,95
1,2026-02-02T14:29:00.117797-08:00,12.88,95
1,2026-02-02T14:34:49.577507-08:00,9.26,95
1,2026-02-02T14:46:47.077734-08:00,14.49,95
1,2026-02-02T14:48:23.027908-08:00,14.68,95
1,2026-02-02T13:27:14.787340-08:00,,0
2,2026-02-02T15:16:43.353499-08:00,-1,90
1,2026-02-02T13:12:17.484157-08:00,,0
2,2026-02-02T13:54:14.198002-08:00,,0
3,2026-02-02T15:18:24.318143-08:00,-1,95
1,2026-02-02T15:40:36.787842-08:00,-1,95
1,2026-02-02T13:21:55.485337-08:00,,69.0909
2,2026-02-02T14:43:43.691684-08:00,,69.0909
3,2026-02-02T15:46:15.415553-08:00,14.42,95
1,2026-02-02T15:47:04.256822-08:00,14.45,95
1,2026-02-02T12:50:26.556636-08:00,,51.8182
